store_name,license_id,square_feet,buffer_size,address,zip_code,census_tract,census_block,latitude,longitude
200 LIQUORS,48663,5000,B,204 E 47TH ST,60653,17031381500,170313815001007,41.8094238941,-87.6209518020
3600 COMMISSARY,24279,3800,B,3600 N LAKE SHORE DR,60613,17031060900,170310609004001,41.9486836744,-87.6436497585
4343 PETES FRESH MARKET,1336669,57000,A,4343 S PULASKI RD,60632,17031570100,170315701001015,41.8139143113,-87.7236649419
4700 PETE'S FRESH MARKET,1243125,45000,A,4700 S KEDZIE AVE,60632,17031842800,170318428004023,41.8080472717,-87.7041188223
5659 W. DIVERSEY,1575023,4000,B,5659 W DIVERSEY AVE,60639,17031190602,170311906022001,41.9311354035,-87.7686121306
"7400 S HALSTED FOOD AND LIQUORS, INC.",980,10001,A,7400 S HALSTED ST,60621,17031681300,170316813003005,41.7596745819,-87.6444202389
79 FOOD BASKET,1958784,3000,B,1351 W 79TH ST,60620,17031710700,170317107001012,41.7503211206,-87.6581890529
AARAY GROCERY,1900,10001,A,2601 N HALSTED ST,60614,17031070200,170310702001009,41.9292098170,-87.6487462650
A & B FOOD MARKET INC,43181,10001,A,5057 W DIVISION ST,60651,17031251100,170312511004000,41.9021664421,-87.7531823487
ADA FOODS,50473,4500,B,1281 W 71ST ST,60636,17031671800,170316718001000,41.7648941814,-87.6573078048
ADAMS FOOD MART,1817376,2500,B,559 N LARAMIE AVE,60644,17031251600,170312516003011,41.8910335471,-87.7553096457
A & G LIQUORS,44373,4800,B,6945 S STATE ST,60637,17031690400,170316904003005,41.7678312792,-87.6247659397
AL BAYAN GROCERY INC.,1542202,2500,B,3134 N NARRAGANSETT AVE,60634,17031831500,170318315001015,41.9375646502,-87.7860543686
ALDI,1922075,16615,A,6621 S COTTAGE GROVE AVE,60637,17031420800,170314208002008,41.7743058812,-87.6056480253
ALDI,1959623,15680,A,6221 N BROADWAY,60660,17031030103,170310301031003,41.9952114602,-87.6602779929
ALDI #28,1519765,15154,A,4934 S KEDZIE AVE,60632,17031630300,170316303002000,41.8034457131,-87.7039862718
ALDI #30,1547427,15154,A,3030 S KEDZIE AVE,60623,17031840800,170318408002012,41.8381141517,-87.7049944648
ALDI #32,1975885,16924,A,1840 N CLYBOURN AVE,60614,17031832600,170318326002019,41.9144237141,-87.6546278430
ALDI #70,1997726,18263,A,7627 S ASHLAND AVE,60620,17031710300,170317103001013,41.7549909175,-87.6634041558
ALDI #79,1515471,15150,A,7800 S SOUTH CHICAGO AVE,60619,17031834300,170318343002003,41.7527456405,-87.5875234853
ALDI FOODS #91,13994,15565,A,3835 W MADISON ST,60624,17031260800,170312608001000,41.8806594115,-87.7221936689
ALDI FOODS -STORE #04,13988,12500,A,800 N KEDZIE AVE,60651,17031836600,170318366001013,41.8956153135,-87.7067053251
ALDI FOODS STORE #2,14004,15600,A,4645 W DIVERSEY AVE,60639,17031190900,170311909001000,41.9314609382,-87.7437173070
ALDI FOODS STORE #26,13998,15540,A,2600 N CLYBOURN AVE,60614,17031070700,170310707002008,41.9286950012,-87.6741950831
ALDI FOODS-STORE #27,13986,12300,A,3363 N MILWAUKEE AVE,60641,17031161300,170311613002008,41.9423835134,-87.7290108595
ALDI FOODS STORE #30,14000,14860,A,4030 W WRIGHTWOOD AVE,60639,17031220702,170312207022005,41.9282078544,-87.7281585580
ALDI FOODS STORE #90B,13992,15565,A,2828 N CENTRAL AVE,60634,17031190402,170311904022031,41.9321576791,-87.7664245988
ALDI INC #06,13978,14000,A,5001 N PULASKI RD,60630,17031140302,170311403023005,41.9719812207,-87.7279868979
ALDI INC #10,14002,15540,A,4501 S PULASKI RD,60632,17031570100,170315701001024,41.8114515422,-87.7235746544
ALDI INC #53,13964,13981,A,5775 S ARCHER AVE,60638,17031560700,170315607002042,41.7963804895,-87.7573475722
ALDI INC #58,13974,12571,A,2431 W MONTROSE AVE,60618,17031050300,170310503001001,41.9611940986,-87.6899669704
ALDI INC # 62,13984,12646,A,6220 N CALIFORNIA AVE,60659,17031020702,170310207022006,41.9946209588,-87.6996868624
ALDI INC #64,13976,11760,A,1767 N MILWAUKEE AVE,60647,17031831000,170318310001003,41.9135877900,-87.6822028354
ALDI INC #83,13990,16300,A,8333 S CICERO AVE,60652,17031700302,170317003023005,41.7409110654,-87.7409228594
ALDI INC #92,13996,19410,A,620 W 63RD ST,60621,17031680900,170316809004003,41.7799200473,-87.6409255107
ALDI INC.#94,14010,10001,A,6025 S WESTERN AVE,60636,17031835000,170318350001001,41.7839658423,-87.6836233778
ALDI INC. #96,1868821,16117,A,821 W 115TH ST,60643,17031530300,170315303001000,41.6849606404,-87.6430223096
ALDI INC STORE 14,1242812,15000,A,5629 W FILLMORE ST,60644,17031831400,170318314002056,41.8673156479,-87.7655979430
ALDI INC STORE #16,1226990,20848,A,1246 E 87TH ST,60619,17031834300,170318343005004,41.7369153460,-87.5936566218
ALDI INC STORE #62,14006,9495,B,1739 W CERMAK RD,60608,17031843200,170318432002043,41.8521511995,-87.6700746019
ALDI INC STORE #90,14008,16340,A,9017 S HALSTED ST,60620,17031711500,170317115002037,41.7302972736,-87.6433090924
ALDI INC STORE #95,14011,37000,A,2333 E 95TH ST,60617,17031510300,170315103001005,41.7224662420,-87.5666730521
ALDI'S,1817903,15255,A,4500 N BROADWAY,60640,17031830700,170318307004004,41.9637889643,-87.6566064924
ALDI'S,1817904,11179,A,6520 W FULLERTON AVE,60707,17031831500,170318315001045,41.9237604017,-87.7887477626
ALDI'S #08,1743166,16890,A,7333 S STATE ST,60619,17031691000,170316910003005,41.7608808720,-87.6246657846
ALDI'S # 26,1821323,16550,A,10532 S INDIANAPOLIS AVE,60617,17031520100,170315201001079,41.7036623609,-87.5257124268
ALDI'S #47,1619769,16370,A,1508 W 47TH ST,60609,17031842600,170318426002057,41.8087413884,-87.6629116285
ALDI'S #93,1743165,16890,A,7545 S WESTERN AVE,60620,17031700100,170317001002053,41.7560350910,-87.6828583216
ALDI'S FOODS BELMONT,1975886,18600,A,3320 W BELMONT AVE,60618,17031831100,170318311001026,41.9394051879,-87.7109005918
ALLA'S FOOD,1068956,3500,B,2024 E 93RD ST,60617,17031480400,170314804004023,41.7262403487,-87.5742922611
ALL STAR FOOD & LIQUOR,1922124,4200,B,2911 S ARCHER AVE,60608,17031600700,170316007001000,41.8414840391,-87.6580219776
ALMUFLIHI FOOD & LIQUOR,62800,4500,B,5404 S HALSTED ST,60609,17031612100,170316121001039,41.7958707987,-87.6453441182
AM-PM FOOD MART & CELLULAR,1093813,3500,B,1924 E 87TH ST,60617,17031450300,170314503003028,41.7371462539,-87.5770809934
ANAR INC,31219,10001,A,935 E 79TH ST,60619,17031440101,170314401011006,41.7512179339,-87.6014014102
ANDYS FRUIT RANCH,1275209,15000,A,4733 N KEDZIE AVE,60625,17031140800,170311408005008,41.9676291597,-87.7083036873
A & R FOOD MART,1954411,3500,B,5952 W GRAND AVE,60639,17031191302,170311913021018,41.9205964582,-87.7751926809
A & R FOOD MART,9125,2500,B,5952 W GRAND AVE,60639,17031191302,170311913021018,41.9205964582,-87.7751926809
ARISTA FOODS,1473367,10000,A,112 N MAY ST,60607,17031833000,170318330002084,41.8834021216,-87.6557252931
ARMITAGE PRODUCE INC,1771323,14340,A,2007 N KIMBALL AVE,60647,17031221100,170312211002029,41.9175624189,-87.7117551087
AROUND THE CLOCK,15860,3000,B,1605 W HOWARD ST,60626,17031010202,170310102021000,42.0192651821,-87.6715720734
ASHLAND FOOD AND LIQUORS,11636,10001,A,1554 W 95TH ST,60643,17031730201,170317302011018,41.7213269867,-87.6625336585
ATHENS GROCERY,971,2600,B,324 S HALSTED ST,60661,17031833100,170318331001028,41.8771621281,-87.6473642897
AVENUE FOOD MAR INC,1246771,18000,A,6850 W BELMONT AVE,60634,17031171000,170311710003022,41.9382373760,-87.7977603483
AWAMI BAZAAR & ZABIHA MEAT,68226,2500,B,2340 W DEVON AVE,60659,17031020500,170310205002005,41.9978536894,-87.6890642657
Baltimore Food & Liquor,1446831,3404,B,13322 S BALTIMORE AVE,60633,17031550100,170315501004012,41.6529646117,-87.5472986528
BARI,1245246,2500,B,1120 W GRAND AVE,60622,17031243500,170312435001021,41.8912101212,-87.6555602414
BERBATE FRUIT MARKET,1646036,2500,B,3956 N NARRAGANSETT AVE,60634,17031170300,170311703001000,41.9527315616,-87.7866984426
B & H FOOD & GROCERY,6068,4500,B,713 S ALBANY AVE,60612,17031837300,170318373001010,41.8723500430,-87.7032726418
BIG APPLE FINER FOODS INC,4900,9000,B,2345 N CLARK ST,60614,17031071400,170310714003003,41.9249661791,-87.6399260190
BOB'S LIQUORS & GROCERIES,957,10001,A,5069 W MADISON ST,60644,17031252201,170312522011000,41.8802960895,-87.7524941982
BOCKWINKELS,1491357,7200,B,222 N COLUMBUS DR,60601,17031320100,170313201002032,41.8863394160,-87.6208361500
BOULEVARD FOOD & LIQUOR LLC,1931999,3350,B,5922 W IRVING PARK RD,60634,17031150402,170311504022018,41.9531825896,-87.7752593753
BROADWAY SUPERMARKET,50737,15000,A,4879 N BROADWAY,60640,17031031200,170310312002005,41.9711711808,-87.6595809750
BUDGET FINER FOODS,1337515,3200,B,6604 N SHERIDAN RD,60626,17031010502,170310105021006,42.0027261067,-87.6609383664
BURNHAM PLAZA MART,2014232,2950,B,828 S WABASH AVE,60605,17031320600,170313206002012,41.8714441963,-87.6260751303
BUSY BEE SUPERMARKET,1974525,2500,B,5659 S ASHLAND AVE,60636,17031670200,170316702001016,41.7904800194,-87.6643450657
BUY -N- SAVE,62460,8000,B,209 E 103RD ST,60628,17031490902,170314909022003,41.7071353216,-87.6182417299
CAESAR'S FOODS INC,13670,10001,A,901 N DAMEN AVE,60622,17031242200,170312422002006,41.8977792769,-87.6769588663
"CALABRIA IMPORTS, INC.",1357606,3100,B,1905 W 103RD ST,60643,17031720700,170317207001004,41.7064733245,-87.6693549885
"CALMA OPTIMAL DELI, INC.",1991322,3000,B,5155 W ADDISON ST,60641,17031151001,170311510011000,41.9458951009,-87.7566458523
CARNICERIA DEL RIO,1801493,3000,B,2714 W CERMAK RD,60608,17031840700,170318407003012,41.8520347381,-87.6936969081
CARNICERIA EL PORVENIR,1768971,2500,B,150 E KENSINGTON AVE,60628,17031530100,170315301001016,41.6840631980,-87.6187429679
CARNICERIA&FRUTERIA EL MITOTE,49322,4500,B,4459 W BELMONT AVE,60641,17031200100,170312001003000,41.9388195147,-87.7394338028
CARNICERIA GUANAJUATO,2069477,9325,B,5250 W FULLERTON AVE,60639,17031190702,170311907023020,41.9241891458,-87.7582297412
CARNICERIA GUANAJUATO #3,2060960,9000,B,3132 N CALIFORNIA AVE,60618,17031210800,170312108001001,41.9385697153,-87.6979459455
CARNICERIA GUANJUATO #3,17340,8800,B,1436 N ASHLAND AVE,60622,17031241500,170312415002000,41.9081153739,-87.6677638335
CARNICERIA JIMENEZ #2,48081,19000,A,3850 W FULLERTON AVE,60647,17031220701,170312207013015,41.9246283205,-87.7239533210
CARNICERIA JIMENEZ INC,1693,16000,A,4204 W NORTH AVE,60639,17031230500,170312306004000,41.9099252471,-87.7315572163
CARNICERIA LA AZTECA,1354069,2500,B,7067 N CLARK ST,60626,17031010702,170310107021002,42.0109629527,-87.6742146577
CARNICERIA LA GLORIA,1471030,6500,B,2551 W 51ST ST,60632,17031630500,170316305001004,41.8009692763,-87.6887220987
"CARNICERIA LA GLORIA NO. 2, INC.",1514813,7500,B,2744 W 55TH ST,60632,17031630500,170316305003017,41.7938118263,-87.6931506024
"CARNICERIA LA HACIENDA, INC.",1492826,4000,B,3459 W 59TH ST,60629,17031660400,170316604004000,41.7860244010,-87.7106047774
"CARNICERIA LA MEJOR PRODUCE, INC.",1800292,4500,B,2915 N MILWAUKEE AVE,60618,17031210602,170312106023005,41.9343143994,-87.7157719991
CARNICERIA LA VILLA #2,2060542,3289,B,5800 W GRAND AVE,60639,17031191302,170311913021021,41.9197749010,-87.7707265258
CARNICERIA RICARDO,35191,5000,B,4419 W DIVERSEY AVE,60639,17031200200,170312002004000,41.9315407469,-87.7375725127
CENTRAL PARK FOODS INC,13813,8000,B,3604 W GRAND AVE,60651,17031231200,170312312001000,41.9024736738,-87.7168174653
CENTRO MARKET,66257,9100,B,5153 S KEDZIE AVE,60632,17031630400,170316304004004,41.7992570437,-87.7035747066
CERMAK PRODUCE,1515206,25000,A,5220 S PULASKI RD,60632,17031620200,170316202001000,41.7979918700,-87.7234437408
CERMAK PRODUCE,1476654,29000,A,4234 N KEDZIE AVE,60618,17031160501,170311605011009,41.9585967247,-87.7083095759
CERMAK PRODUCE,53313,10000,A,4800 W DIVERSEY AVE,60639,17031190200,170311902004016,41.9316414204,-87.7467199106
CERMAK PRODUCE,1574003,14000,A,4401 W ARMITAGE AVE,60639,17031831200,170318312002004,41.9169344398,-87.7363871475
CERMAK PRODUCE,1476657,15000,A,1711 W CERMAK RD,60608,17031843200,170318432002043,41.8521678636,-87.6689750407
CERMAK PRODUCE,1770942,17000,A,3311 W 26TH ST,60623,17031840800,170318408001003,41.8443667287,-87.7078980538
CERMAK PRODUCE #5 LTD,1649774,10000,A,3435 S ARCHER AVE,60608,17031840300,170318403002016,41.8313499001,-87.6758478479
CERMAK PRODUCE NO.4,69608,17000,A,2701 W NORTH AVE,60647,17031241000,170312410002000,41.9101322404,-87.6946003939
CHARLIES  SUPERMARKET INC.,1441898,2500,B,2941 W MONTROSE AVE,60618,17031160601,170311606012000,41.9611144263,-87.7025869386
CHATHAM FOOD MARKET,1904290,4500,B,327 E 79TH ST,60619,17031440300,170314403002001,41.7509726753,-87.6169578802
CHICAGO FOOD CORP,1169745,10000,A,5800 N PULASKI RD,60646,17031130200,170311302001009,41.9859279924,-87.7286634185
CHICAGO GROCERS,1332221,2500,B,2122 W DEVON AVE,60659,17031020500,170310205001013,41.9979458853,-87.6835687050
Chicago Health - Maple Street,2065274,2900,B,22 W MAPLE ST,60610,17031081100,170310811003002,41.9019825524,-87.6292631031
CHICAGO PRODUCE,1865,13500,A,3500 W LAWRENCE AVE,60625,17031140200,170311402003015,41.9684853733,-87.7158713295
CICERO DELI INC.,20884,3600,B,3206 N CICERO AVE,60641,17031151002,170311510024009,41.9390466700,-87.7470219655
CITY GROCERY,1979483,5000,B,405 N WABASH AVE,60611,17031081500,170310815003007,41.8894653288,-87.6265092736
CLARENDON FOOD MART INC,29515,10000,A,4183 N CLARENDON AVE,60613,17031031400,170310314003003,41.9580048015,-87.6496537356
CLYBOURN MARKET,40522,3500,B,2807 N CLYBOURN AVE,60618,17031051400,170310514002008,41.9325791837,-87.6783274560
COMMERCIAL GROCERY,56894,2500,B,3004 E 100TH ST,60617,17031510100,170315101002007,41.7134978435,-87.5507331066
CORCORANS PANTRY INC,9412,4200,B,1105 W BRYN MAWR AVE,60660,17031030701,170310307011003,41.9835447852,-87.6582676725
COTTAGE GROVE FOOD MART,1898994,4000,B,6307 S COTTAGE GROVE AVE,60637,17031420800,170314208001004,41.7801519592,-87.6057775241
COUNTY FAIR FOODS,37096,10001,A,10800 S WESTERN AVE,60643,17031750300,170317503001022,41.6972382088,-87.6814748042
CRESPO'S FOOD MART,40132,2800,B,4353 W MADISON ST,60624,17031260600,170312606001001,41.8805049950,-87.7351228503
CUENCA'S BAKERY & GROCERIES,1619464,4500,B,4229 W MONTROSE AVE,60641,17031160300,170311603003002,41.9607675196,-87.7339469271
CUPBOARD FOOD & LIQUOR,7110,3000,B,3260 W 55TH ST,60632,17031630300,170316303002035,41.7935891795,-87.7059457835
D & A FOOD & LIQUOR,46444,5500,B,1601 W GARFIELD BLVD,60636,17031670300,170316703002005,41.7935543630,-87.6646375512
DANNY'S FRESH MARKET,1888080,14405,A,2140 N WESTERN AVE,60647,17031221500,170312215001018,41.9210962680,-87.6876710129
DEVON MARKET,1042888,18500,A,1440 W DEVON AVE,60660,17031010600,170310106003012,41.9982282538,-87.6671044665
DIA FOOD & LIQUOR,41854,4500,B,1478 W 115TH ST,60643,17031750600,170317506004046,41.6849557984,-87.6597258290
DILILAH GROCERY,1986580,3125,B,1759 W 21ST ST,60608,17031310800,170313108003012,41.8539678804,-87.6708701882
DISCOUNT MEAT COMPANY,13820,4160,B,339 W 79TH ST,60620,17031842400,170318424002003,41.7506874405,-87.6333809292
DISCOUNT PANTRY CORPORATION,32952,3600,B,4153 W 63RD ST,60629,17031650301,170316503013003,41.7784929073,-87.7273275190
DOLLAR DEALS & UP,1276566,2500,B,2057 N PULASKI RD,60639,17031200402,170312004021000,41.9188912639,-87.7264653150
DOLLAR & LINEN,1875260,5800,B,1853 W 87TH ST,60620,17031711300,170317113001005,41.7355890742,-87.6699517263
DOMINICK'S,1969836,59488,A,6623 N DAMEN AVE,60645,17031020500,170310205003006,42.0022233751,-87.6801288280
DOMINICK'S # 1100,41629,10001,A,3145 S ASHLAND AVE,60608,17031840400,170318404001032,41.8364683477,-87.6655669021
DOMINICK'S # 113/1113,41633,10001,A,6312 N NAGLE AVE,60646,17031100200,170311002002001,41.9959852861,-87.7876371171
DOMINICK'S # 12/0012,41645,10001,A,6009 N BROADWAY,60660,17031030101,170310301011003,41.9911817534,-87.6601550832
DOMINICK'S # 130/1130,41657,10001,A,2101 E 71ST ST,60649,17031430600,170314306001008,41.7659900011,-87.5737873367
DOMINICK'S #147/1147,41674,68000,A,1340 S CANAL ST,60607,17031841900,170318419002092,41.8645211937,-87.6393040996
DOMINICK'S #153/2153,41678,68000,A,424 W DIVISION ST,60610,17031080400,170310804002003,41.9038839611,-87.6394372016
DOMINICK'S #160/1698,41689,72000,A,1763 W HOWARD ST,60626,17031010202,170310102021001,42.0192885501,-87.6750585094
Dominick's #1703,1574461,49320,A,255 E GRAND AVE,60611,17031081403,170310814031010,41.8916898398,-87.6204441348
DOMINICK'S #1875,1273445,39000,A,1 N HALSTED ST,60661,17031280100,170312801001038,41.8818156316,-87.6472147170
DOMINICKS #2889,2042084,48735,A,5233 N LINCOLN AVE,60625,17031040202,170310402022002,41.9768950984,-87.6922796678
DOMINICKS #2890,2042094,55129,A,5201 N SHERIDAN RD,60640,17031030706,170310307061008,41.9764816676,-87.6548397772
DOMINICK'S # 304/2304,41617,10001,A,2550 N CLYBOURN AVE,60614,17031070700,170310707002005,41.9278717231,-87.6732588146
DOMINICK'S # 86/1086,41625,10001,A,3350 N WESTERN AVE,60618,17031843700,170318437001022,41.9427471952,-87.6883543215
"DOMINICK'S Finer Foods, Inc. #1695",41682,26819,A,959 W FULLERTON AVE,60614,17031071100,170310711002000,41.9252682757,-87.6534875641
DOMINICK'S FINER FOODS - STORE # 2775,1820382,54963,A,2021 W CHICAGO AVE,60622,17031243000,170312430001000,41.8957852296,-87.6779308926
EDDIE'S FOOD MART,50432,4500,B,1858 W 63RD ST,60636,17031670600,170316706002016,41.7794611564,-87.6714366715
EDDIE & SON FOOD &LIQ.,4146,2500,B,3624 W NORTH AVE,60647,17031230400,170312307001000,41.9100926711,-87.7175753532
"EDDIE'S SUNSHINE FOOD & LIQUOR,  INC.",24217,3000,B,10806 S MICHIGAN AVE,60628,17031490901,170314909012011,41.6978179235,-87.6210110036
EDDY'S FOOD MART,1879269,4000,B,7575 N ROGERS AVE,60626,17031010300,170310103002005,42.0191646250,-87.6683972880
EDGEWATER PRODUCE,16765,7400,B,5509 N CLARK ST,60640,17031030800,170310308001010,41.9819713770,-87.6683210323
EL BARRIO GROCERY,42681,10001,A,3938 W NORTH AVE,60647,17031230400,170312307004007,41.9100080401,-87.7254384633
EL MILAGRO,43513,5500,B,3048 W 26TH ST,60623,17031300900,170313009001012,41.8446873274,-87.7021029360
EL  PASEO  BORICUA,1301216,3000,B,2706 W DIVISION ST,60622,17031242600,170312426001013,41.9030542001,-87.6947704208
EL YUNQUE FOOD & LIQUOR,1986802,2500,B,1900 N CALIFORNIA AVE,60647,17031222500,170312225001000,41.9157610232,-87.6972958109
E.M. GROCERIES,4863,4500,B,5358 S CARPENTER ST,60609,17031612000,170316120002009,41.7961289732,-87.6514349028
EMILIO'S PRODUCE,1675623,2500,B,2294 N MILWAUKEE AVE,60647,17031221400,170312214002002,41.9225974657,-87.6970976291
EUROPA GALLERIA INC,1299537,6500,B,340 W SUPERIOR ST,60610,17031081800,170310818002018,41.8956627719,-87.6372207150
EXTRA VALUE FOOD & LIQUOR,1823321,5000,B,6257 S ASHLAND AVE,60636,17031670800,170316708002029,41.7796146658,-87.6640774893
FAIRPLAY FINER FOOD,10940,10001,A,2200 S WESTERN AVE,60608,17031841300,170318413002001,41.8519838396,-87.6857857042
FAIRPLAY FINER FOODS INC,10949,10001,A,4640 S HALSTED ST,60609,17031842600,170318426002035,41.8096297680,-87.6457075651
FAIRPLAY FOODS INC,10947,18500,A,2323 W 111TH ST,60643,17031750500,170317505001002,41.6916792040,-87.6797791725
FAIRWAY FOOD,2031993,3000,B,2900 E 79TH ST,60649,17031431301,170314313011010,41.7520053919,-87.5540154169
FAMILY PRIDE,77270,12500,A,10601 S PULASKI RD,60655,17031740200,170317402002010,41.7003552742,-87.7205408964
FARM SUPER MARKET,2017764,3000,B,2255 W DEVON AVE,60659,17031020901,170310209011002,41.9976669579,-87.6872134560
FIESTA SUPERMARCADO,1196305,14500,A,3307 W 63RD ST,60629,17031660500,170316605001002,41.7788185771,-87.7059035755
FIRST CHOICE MARKET,1969290,10000,A,3019 E 91ST ST,60617,17031461000,170314610001014,41.7299778712,-87.5503825944
FIVE STAR CERTIFIED INC,7168,5000,B,935 W 87TH ST,60620,17031711400,170317114002006,41.7359084057,-87.6474228803
